ADC,DAC
48,68
724,71
1008,73
1125,76
1184,77
1221,78
1247,79
1232,79
1247,78
1249,77
1252,75
1237,73
1229,72
1190,70
1125,69
1143,68
1088,67
1075,67
976,66
1107,66
1104,65
1046,64
1011,63
1049,61
1006,58
961,54
913,50
852,46
816,42
752,37
689,33
620,30
560,28
538,27
489,28
461,29
625,32
564,37
595,42
686,48
832,54
839,61
935,66
1037,71
1121,75
1131,77
1153,78
1233,78
1251,75
1223,72
1195,68
1243,63
1100,58
978,53
917,48
848,45
848,42
842,41
710,41
701,43
716,45
748,48
779,52
843,56
890,60
938,64
1008,67
1077,69
1083,71
1148,71
1152,70
1143,69
1136,67
1119,65
1091,63
1045,60
999,59
971,58
956,58
944,58
946,60
1072,62
990,64
1048,67
1075,70
1111,73
1168,75
1182,77
1219,78
1258,78
1255,78
1264,77
1243,76
1228,74
1217,72
1194,70
1167,68
1146,67
1108,65
1095,64
1077,63
1036,63
1040,62
1004,62
985,61
1010,59
954,57
945,55
919,52
891,48
827,45
788,41
735,37
683,33
625,30
569,28
549,27
511,27
500,29
523,32
550,36
603,41
664,47
710,54
839,60
925,66
1030,71
1111,75
1185,78
1232,79
1264,78
1259,77
1257,73
1207,69
1159,64
1104,59
1008,54
932,50
862,46
807,43
757,41
721,41
707,42
704,44
731,48
784,51
817,56
885,60
944,64
1013,67
1073,70
1122,71
1148,72
1170,71
1173,70
1155,68
1134,66
1094,64
1072,61
1011,60
989,58
961,58
946,58
951,59
956,61
979,63
998,65
1053,68
1092,71
1151,73
1171,75
1212,76
1223,77
1237,77
1232,76
1232,74
1209,72
1183,70
1177,68
1136,66
1119,64
1091,62
1034,61
994,59
971,59
955,58
947,57
941,56
935,55
908,54
896,52
872,49
843,46
791,43
752,39
701,35
646,32
602,29
558,27
511,26
496,27
496,28
498,31
542,35
592,40
656,46
728,52
813,59
903,65
1013,70
1101,74
1166,77
1216,79
1261,79
1270,77
1259,74
1228,70
1175,65
1113,60
1023,55
945,50
869,46
809,43
761,41
719,40
700,41
693,43
710,46
719,50
800,54
863,58
912,62
964,66
1057,69
1104,71
1130,72
1179,72
1167,71
1177,69
1148,67
1113,64
1085,62
1039,60
986,58
960,57
944,57
933,57
944,59
949,61
974,63
993,66
1068,68
1091,71
1139,73
1174,74
1191,74
1200,74
1200,73
1200,72
1182,70
1116,68
1140,65
1098,63
1051,60
1001,58
959,56
929,55
912,54
896,53
885,53
879,52
839,51
845,50
833,48
815,46
787,43
738,41
720,37
661,34
